월별현황,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
영업월,거래건수,매출금액,할인금액,판매건수,실매출,과세금액,부가세,면세금액,순매출,현금결제,카드결제,포인트,기타결제,주문단가
2021-01,473,2657200,0,473,2657200,2657200,241560,0,2415640,214700,2442500,0,0,5618
2021-02,560,2852100,0,560,2852100,2852100,259276,0,2592824,271500,2580600,0,0,5093
2021-03,614,2804000,0,614,2804000,2804000,254902,0,2549098,245200,2558800,0,0,4567
2021-04,682,3069000,0,682,3069000,3069000,278989,0,2790011,329200,2739800,0,0,4500
2021-05,791,3861600,0,791,3861600,3861600,351059,0,3510541,345500,3516100,0,0,4882
2021-06,916,4043400,0,916,4043400,4043400,367552,0,3675848,341700,3701700,0,0,4414
2021-07,1010,5006300,0,1010,5006300,5006300,455090,0,4551210,389600,4616700,0,0,4957
2021-08,847,3969800,0,847,3969800,3969800,360889,0,3608911,313300,3656500,0,0,4687
2021-09,738,3375500,0,738,3375500,3375500,306856,0,3068644,293900,3081600,0,0,4574
2021-10,639,2498000,0,639,2498000,2498000,227080,0,2270920,195800,2302200,0,0,3909
2021-11,457,1935000,0,457,1935000,1935000,175888,0,1759112,136000,1799000,0,0,4234
2021-12,454,1900700,0,454,1900700,1900700,172779,0,1727921,177400,1723300,0,0,4187
2022-01,448,2173000,0,448,2173000,2173000,197537,0,1975463,218200,1954800,0,0,4850
2022-02,383,1813500,0,383,1813500,1813500,164864,0,1648636,199400,1614100,0,0,4735
2022-03,492,2694900,0,492,2694900,2694900,244995,0,2449905,155500,2539400,0,0,5477
2022-04,615,2910700,0,615,2910700,2910700,264608,0,2646092,225300,2685400,0,0,4733
2022-05,754,3183000,0,754,3183000,3183000,289350,0,2893650,305200,2877800,0,0,4221
2022-06,784,3714000,217400,784,3496600,3496600,317857,0,3178743,190100,3306500,0,0,4460
2022-07,122,732200,139500,122,592700,592700,53879,0,538821,12100,580600,0,0,4858
2022-08,,,,,,,,,,,,,,
2022-09,,,,,,,,,,,,,,
2022-10,,,,,,,,,,,,,,
2022-11,,,,,,,,,,,,,,
2022-12,,,,,,,,,,,,,,
